{timestamp: 2018-11-28T12:47:32.233Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:48:50.217Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:49:06.721Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:50:23.970Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:53:31.238Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:57:45.557Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:05:28.966Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:08:47.250Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:10:46.881Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:11:34.970Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:13:51.524Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:15:05.465Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:15:54.673Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:16:28.209Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:16:52.110Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:17:34.929Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:17:57.508Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:18:34.917Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:26:09.281Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:27:35.742Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:29:12.214Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:29:21.537Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:31:14.742Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:31:16.736Z, level: error, message: Can't set headers after they are sent.}
{timestamp: 2018-11-29T06:32:19.836Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:32:45.374Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:34:20.328Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:34:23.447Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:34:54.550Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:35:58.723Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:36:11.243Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:36:11.472Z, level: error, message: API not found}
